"Language","original","english","czech","german","russian","polish","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CookZ_MushroomStroganoffCan_Opened_DS","A delicious variation of Stroganoff, featuring mushrooms in a rich, creamy sauce. A satisfying and comforting dish for any occasion. Eat up before it spoils.","A delicious variation of Stroganoff, featuring mushrooms in a rich, creamy sauce. A satisfying and comforting dish for any occasion. Eat up before it spoils.","A delicious variation of Stroganoff, featuring mushrooms in a rich, creamy sauce. A satisfying and comforting dish for any occasion. Eat up before it spoils.","Eine köstliche Variation des Stroganoff, bei der Pilze in einer cremigen Sauce serviert werden. Ein sättigendes Gericht für jeden Anlass. Nach dem Öffnen rasch verzehren.","A delicious variation of Stroganoff, featuring mushrooms in a rich, creamy sauce. A satisfying and comforting dish for any occasion. Eat up before it spoils.","A delicious variation of Stroganoff, featuring mushrooms in a rich, creamy sauce. A satisfying and comforting dish for any occasion. Eat up before it spoils.","A delicious variation of Stroganoff, featuring mushrooms in a rich, creamy sauce. A satisfying and comforting dish for any occasion. Eat up before it spoils.","A delicious variation of Stroganoff, featuring mushrooms in a rich, creamy sauce. A satisfying and comforting dish for any occasion. Eat up before it spoils.","A delicious variation of Stroganoff, featuring mushrooms in a rich, creamy sauce. A satisfying and comforting dish for any occasion. Eat up before it spoils.","A delicious variation of Stroganoff, featuring mushrooms in a rich, creamy sauce. A satisfying and comforting dish for any occasion. Eat up before it spoils.","A delicious variation of Stroganoff, featuring mushrooms in a rich, creamy sauce. A satisfying and comforting dish for any occasion. Eat up before it spoils.","A delicious variation of Stroganoff, featuring mushrooms in a rich, creamy sauce. A satisfying and comforting dish for any occasion. Eat up before it spoils.","A delicious variation of Stroganoff, featuring mushrooms in a rich, creamy sauce. A satisfying and comforting dish for any occasion. Eat up before it spoils.",
"STR_CookZ_BeefStewCan_DN","Beef Stew","Beef Stew","Beef Stew","Rindfleischeintopf","Beef Stew","Beef Stew","Beef Stew","Beef Stew","Beef Stew","Beef Stew","Beef Stew","Beef Stew","Beef Stew",
"STR_CookZ_BeefStewCan_DS","A savory beef stew with chunks of meat, peppers, tomatoes, and potatoes, creating a comforting and satisfying dish.","A savory beef stew with chunks of meat, peppers, tomatoes, and potatoes, creating a comforting and satisfying dish.","A savory beef stew with chunks of meat, peppers, tomatoes, and potatoes, creating a comforting and satisfying dish.","Ein würziger Rindfleischeintopf mit Fleischstücken, Paprika, Tomaten und Kartoffeln, der ein wohltuendes und sättigendes Gericht ergibt.","A savory beef stew with chunks of meat, peppers, tomatoes, and potatoes, creating a comforting and satisfying dish.","A savory beef stew with chunks of meat, peppers, tomatoes, and potatoes, creating a comforting and satisfying dish.","A savory beef stew with chunks of meat, peppers, tomatoes, and potatoes, creating a comforting and satisfying dish.","A savory beef stew with chunks of meat, peppers, tomatoes, and potatoes, creating a comforting and satisfying dish.","A savory beef stew with chunks of meat, peppers, tomatoes, and potatoes, creating a comforting and satisfying dish.","A savory beef stew with chunks of meat, peppers, tomatoes, and potatoes, creating a comforting and satisfying dish.","A savory beef stew with chunks of meat, peppers, tomatoes, and potatoes, creating a comforting and satisfying dish.","A savory beef stew with chunks of meat, peppers, tomatoes, and potatoes, creating a comforting and satisfying dish.","A savory beef stew with chunks of meat, peppers, tomatoes, and potatoes, creating a comforting and satisfying dish.",
"STR_CookZ_BeefStewCan_Opened_DS","A savory beef stew with chunks of meat, peppers, tomatoes, and potatoes, creating a comforting and satisfying dish. Eat up before it spoils.","A savory beef stew with chunks of meat, peppers, tomatoes, and potatoes, creating a comforting and satisfying dish. Eat up before it spoils.","A savory beef stew with chunks of meat, peppers, tomatoes, and potatoes, creating a comforting and satisfying dish. Eat up before it spoils.","Ein würziger Rindfleischeintopf mit Fleischstücken, Paprika, Tomaten und Kartoffeln, der ein wohltuendes und sättigendes Gericht ergibt. Nach dem Öffnen rasch verzehren.","A savory beef stew with chunks of meat, peppers, tomatoes, and potatoes, creating a comforting and satisfying dish. Eat up before it spoils.","A savory beef stew with chunks of meat, peppers, tomatoes, and potatoes, creating a comforting and satisfying dish. Eat up before it spoils.","A savory beef stew with chunks of meat, peppers, tomatoes, and potatoes, creating a comforting and satisfying dish. Eat up before it spoils.","A savory beef stew with chunks of meat, peppers, tomatoes, and potatoes, creating a comforting and satisfying dish. Eat up before it spoils.","A savory beef stew with chunks of meat, peppers, tomatoes, and potatoes, creating a comforting and satisfying dish. Eat up before it spoils.","A savory beef stew with chunks of meat, peppers, tomatoes, and potatoes, creating a comforting and satisfying dish. Eat up before it spoils.","A savory beef stew with chunks of meat, peppers, tomatoes, and potatoes, creating a comforting and satisfying dish. Eat up before it spoils.","A savory beef stew with chunks of meat, peppers, tomatoes, and potatoes, creating a comforting and satisfying dish. Eat up before it spoils.","A savory beef stew with chunks of meat, peppers, tomatoes, and potatoes, creating a comforting and satisfying dish. Eat up before it spoils.",
"STR_CookZ_BoneBrothCan_DN","Bone Broth","Bone Broth","Bone Broth","Knochenbrühe","Bone Broth","Bone Broth","Bone Broth","Bone Broth","Bone Broth","Bone Broth","Bone Broth","Bone Broth","Bone Broth",
"STR_CookZ_BoneBrothCan_DS","A rich, savory broth created by simmering bones in water, resulting in a deep, flavorful liquid.","A rich, savory broth created by simmering bones in water, resulting in a deep, flavorful liquid.","A rich, savory broth created by simmering bones in water, resulting in a deep, flavorful liquid.","Eine reichhaltige, herzhafte Brühe, die durch das Köcheln von Knochen in Wasser entsteht und einen tiefen, aromatischen Geschmack bietet.","A rich, savory broth created by simmering bones in water, resulting in a deep, flavorful liquid.","A rich, savory broth created by simmering bones in water, resulting in a deep, flavorful liquid.","A rich, savory broth created by simmering bones in water, resulting in a deep, flavorful liquid.","A rich, savory broth created by simmering bones in water, resulting in a deep, flavorful liquid.","A rich, savory broth created by simmering bones in water, resulting in a deep, flavorful liquid.","A rich, savory broth created by simmering bones in water, resulting in a deep, flavorful liquid.","A rich, savory broth created by simmering bones in water, resulting in a deep, flavorful liquid.","A rich, savory broth created by simmering bones in water, resulting in a deep, flavorful liquid.","A rich, savory broth created by simmering bones in water, resulting in a deep, flavorful liquid.",
"STR_CookZ_BoneBrothCan_Opened_DS","A rich, savory broth created by simmering bones in water, resulting in a deep, flavorful liquid. Eat up before it spoils.","A rich, savory broth created by simmering bones in water, resulting in a deep, flavorful liquid. Eat up before it spoils.","A rich, savory broth created by simmering bones in water, resulting in a deep, flavorful liquid. Eat up before it spoils.","Eine reichhaltige, herzhafte Brühe, die durch das Köcheln von Knochen in Wasser entsteht und einen tiefen, aromatischen Geschmack bietet. Nach dem Öffnen rasch verzehren.","A rich, savory broth created by simmering bones in water, resulting in a deep, flavorful liquid. Eat up before it spoils.","A rich, savory broth created by simmering bones in water, resulting in a deep, flavorful liquid. Eat up before it spoils.","A rich, savory broth created by simmering bones in water, resulting in a deep, flavorful liquid. Eat up before it spoils.","A rich, savory broth created by simmering bones in water, resulting in a deep, flavorful liquid. Eat up before it spoils.","A rich, savory broth created by simmering bones in water, resulting in a deep, flavorful liquid. Eat up before it spoils.","A rich, savory broth created by simmering bones in water, resulting in a deep, flavorful liquid. Eat up before it spoils.","A rich, savory broth created by simmering bones in water, resulting in a deep, flavorful liquid. Eat up before it spoils.","A rich, savory broth created by simmering bones in water, resulting in a deep, flavorful liquid. Eat up before it spoils.","A rich, savory broth created by simmering bones in water, resulting in a deep, flavorful liquid. Eat up before it spoils.",
"STR_CookZ_AppleMarmaladeCan_DN","Apple Marmalade","Apple Marmalade","Apple Marmalade","Apfelmarmelade","Apple Marmalade","Apple Marmalade","Apple Marmalade","Apple Marmalade","Apple Marmalade","Apple Marmalade","Apple Marmalade","Apple Marmalade","Apple Marmalade",
"STR_CookZ_AppleMarmaladeCan_DS","A sweet spread made from cooked apples, offering a mild, fruity flavor.","A sweet spread made from cooked apples, offering a mild, fruity flavor.","A sweet spread made from cooked apples, offering a mild, fruity flavor.","Ein süßer Aufstrich aus gekochten Äpfeln, der einen milden, fruchtigen Geschmack bietet.","A sweet spread made from cooked apples, offering a mild, fruity flavor.","A sweet spread made from cooked apples, offering a mild, fruity flavor.","A sweet spread made from cooked apples, offering a mild, fruity flavor.","A sweet spread made from cooked apples, offering a mild, fruity flavor.","A sweet spread made from cooked apples, offering a mild, fruity flavor.","A sweet spread made from cooked apples, offering a mild, fruity flavor.","A sweet spread made from cooked apples, offering a mild, fruity flavor.","A sweet spread made from cooked apples, offering a mild, fruity flavor.","A sweet spread made from cooked apples, offering a mild, fruity flavor.",
"STR_CookZ_AppleMarmaladeCan_Opened_DS","A sweet spread made from cooked apples, offering a mild, fruity flavor. Eat up before it spoils.","A sweet spread made from cooked apples, offering a mild, fruity flavor. Eat up before it spoils.","A sweet spread made from cooked apples, offering a mild, fruity flavor. Eat up before it spoils.","Ein süßer Aufstrich aus gekochten Äpfeln, der einen milden, fruchtigen Geschmack bietet. Nach dem Öffnen rasch verzehren.","A sweet spread made from cooked apples, offering a mild, fruity flavor. Eat up before it spoils.","A sweet spread made from cooked apples, offering a mild, fruity flavor. Eat up before it spoils.","A sweet spread made from cooked apples, offering a mild, fruity flavor. Eat up before it spoils.","A sweet spread made from cooked apples, offering a mild, fruity flavor. Eat up before it spoils.","A sweet spread made from cooked apples, offering a mild, fruity flavor. Eat up before it spoils.","A sweet spread made from cooked apples, offering a mild, fruity flavor. Eat up before it spoils.","A sweet spread made from cooked apples, offering a mild, fruity flavor. Eat up before it spoils.","A sweet spread made from cooked apples, offering a mild, fruity flavor. Eat up before it spoils.","A sweet spread made from cooked apples, offering a mild, fruity flavor. Eat up before it spoils.",
"STR_CookZ_PlumMarmaladeCan_DN","Plum Marmalade","Plum Marmalade","Plum Marmalade","Pflaumenmarmelade","Plum Marmalade","Plum Marmalade","Plum Marmalade","Plum Marmalade","Plum Marmalade","Plum Marmalade","Plum Marmalade","Plum Marmalade","Plum Marmalade",
